Region,Office,Client ID,Client Status,Loan Status,Client Score,Status Date
Coast Region,Mariakani,83684.0,Active,P+I Current,62.23,2021-02-28
South Rift Region,Kericho,42424.0,Dormant,Penalties,24.23,2019-08-31
Eastern Region,Machakos,71855.0,Active,P+I Current,37.62,2021-02-28
Eastern Region,Kitui,66905.0,Dormant,Penalties,44.98,2021-02-28
North Rift Region,Eldoret2,36002.0,Dormant,Penalties,25.99,2019-05-31
South Rift AgriBiz,Londiani,82186.0,Active,P+I In Default,,2020-12-31
South Rift Region,Litein,47912.0,Dormant,Penalties,0.15,2019-11-30
Eastern Region,Wote,67045.0,Dormant,Penalties,0.15,2020-09-30
North Rift Region,Eldoret2,23497.0,Dormant,Penalties,38.92,2018-10-31
North Rift Region,Kitale,29125.0,Dormant,Penalties,44.78,2020-08-31
South Rift AgriBiz,Keringet,63054.0,Dormant,Pending Renewal,58.38,2021-02-28
South Rift AgriBiz,Nakuru AgriBiz,36114.0,Dormant,P+I In Default,,2019-10-31
Western Region,Kisumu,56188.0,Dormant,Penalties,0.15,2020-04-30
South Rift AgriBiz,Londiani,72064.0,Active,Pending Renewal,77.7,2021-02-28
Nairobi Region,Embakasi,76651.0,Active,P+I In Default,74.65,2021-02-28
North Rift Region,Nandi Hills,60630.0,Dormant,Penalties,47.83,2020-06-30
Nairobi Region,Rongai,60095.0,Dormant,Penalties,0.15,2020-06-30
South Rift Region,Kericho,6676.0,Dormant,Pending Renewal,40.83,2017-11-30
Western Region,Bungoma,72540.0,Dormant,Penalties,34.24,2021-02-28
South Rift AgriBiz,Nakuru AgriBiz,6174.0,Dormant,Pending Renewal,59.6,2018-07-31
South Rift AgriBiz,Londiani,68312.0,Active,Penalties,39.47,2021-02-28
South Rift Region,Nakuru,7619.0,Dormant,Penalties,28.75,2017-05-31
Coast Region,Mtwapa,83464.0,Active,P+I In Default,13.09,2021-02-28
Nairobi Region,Kariobangi,69187.0,Dormant,Penalties,26.74,2021-01-31
Coast Region,Mariakani,28105.0,Dormant,P+I In Default,60.9,2021-02-28
South Rift Region,Litein,45877.0,Dormant,Penalties,38.12,2020-01-31
South Rift Region,Litein,81442.0,Active,Penalties,45.96,2020-11-30
South Rift Region,Kericho,32936.0,Dormant,Penalties,18.11,2019-05-31
South Rift Region,Naivasha,80594.0,Active,Penalties,50.6,2020-11-30
South Rift Region,Nakuru,1888.0,Dormant,Pending Renewal,33.8,2016-05-31
Nairobi Region,Kahawa,84698.0,New,P+I In Default,63.51,2021-02-28
Nairobi Region,Ngong Road,43784.0,Dormant,Penalties,25.84,2019-11-30
Nairobi Region,Kahawa,72837.0,Dormant,Penalties,61.24,2021-02-28
Nairobi Region,Embakasi,19112.0,Dormant,Penalties,27.87,2018-12-31
North Rift Region,Kitale,43851.0,Dormant,Penalties,43.55,2020-03-31
South Rift Region,Bomet,66505.0,Dormant,Penalties,0.43,2020-09-30
Nairobi Region,Rongai,25280.0,Dormant,Penalties,39.09,2019-05-31
South Rift AgriBiz,Nakuru AgriBiz,60772.0,Dormant,Pending Renewal,69.08,2021-02-28
South Rift Region,Narok,60522.0,Dormant,Penalties,0.15,2020-06-30
Coast Region,Mombasa,21675.0,Dormant,Penalties,3.35,2018-07-31
North Rift Region,Kitale,51111.0,Dormant,Penalties,0.15,2020-02-29
Nairobi Region,Limuru,82607.0,Active,Penalties,29.93,2020-12-31
Western Region,Bungoma,82551.0,Active,Pending Renewal,45.58,2021-02-28
Western Region,Mumias,74918.0,Dormant,Penalties,10.06,2020-10-31
Nairobi Region,Ngong Road,40061.0,Dormant,Penalties,5.16,2019-07-31
South Rift AgriBiz,Londiani,59543.0,Active,Pending Renewal,77.48,2021-02-28
South Rift Region,Bomet,37375.0,Active,P+I In Default,39.17,2021-02-28
South Rift AgriBiz,Nakuru AgriBiz,58957.0,Active,P+I In Default,59.62,2021-02-28
Nairobi Region,Kariobangi,3524.0,Dormant,Pending Renewal,75.15,2016-07-31
Coast Region,Mtwapa,53914.0,Dormant,Penalties,61.0,2020-03-31
Western Region,Mbale,81270.0,Active,Penalties,52.59,2020-12-31
Coast Region,Ukunda,15202.0,Dormant,Penalties,28.36,2018-04-30
North Rift Region,Kitale,24807.0,Dormant,Penalties,36.94,2019-02-28
Coast Region,Voi,49227.0,Dormant,Penalties,0.24,2020-02-29
Nairobi Region,Ngong Road,11331.0,Dormant,Penalties,23.84,2018-02-28
Western Region,Kisumu,76644.0,Active,Penalties,48.92,2020-09-30
North Rift Region,Eldoret1,21440.0,Dormant,Penalties,16.01,2018-08-31
Central AgriBiz,Githunguri,42738.0,Dormant,P+I In Default,,2021-02-28
South Rift Region,Litein,27761.0,Dormant,Penalties,15.98,2019-04-30
South Rift Region,Nakuru,32262.0,Dormant,Penalties,27.53,2019-10-31
Nairobi Region,Embakasi,70467.0,Dormant,Penalties,24.18,2020-11-30
North Rift Region,Kapsabet,19027.0,Dormant,Penalties,47.6,2018-07-31
Nairobi Region,Ngong Road,27927.0,Dormant,Penalties,37.71,2019-09-30
North Rift Region,Kapsabet,84683.0,New,P+I Current,,2021-02-28
South Rift Region,Nakuru,85928.0,New,P+I Current,,2021-02-28
Coast Region,Mtwapa,68996.0,Dormant,Penalties,20.87,2020-10-31
Western Region,Kisumu,74937.0,Dormant,Penalties,10.06,2020-10-31
South Rift AgriBiz,Nakuru AgriBiz,85663.0,New,P+I Current,,2021-02-28
Coast Region,Kilifi,43102.0,Dormant,Pending Renewal,30.16,2019-10-31
South Rift AgriBiz,Keringet,74138.0,Dormant,P+I In Default,15.37,2021-02-28
South Rift Region,Bomet,66268.0,Dormant,Penalties,0.15,2020-09-30
Coast Region,Ukunda,30336.0,Dormant,Penalties,45.94,2020-12-31
South Rift Region,Nakuru,41688.0,Dormant,Penalties,16.96,2019-08-31
Nairobi Region,Embakasi,50679.0,Dormant,Penalties,35.51,2020-08-31
South Rift Region,Litein,15133.0,Dormant,Penalties,36.83,2018-05-31
Coast Region,Malindi,36746.0,Dormant,Penalties,3.65,2019-05-31
South Rift AgriBiz,Nakuru AgriBiz,71906.0,Active,P+I Current,63.87,2021-02-28
South Rift Region,Narok,14217.0,Dormant,Penalties,69.28,2019-09-30
Nairobi Region,Kariobangi,2373.0,Dormant,Pending Renewal,48.34,2016-11-30
Nairobi Region,Kariobangi,33319.0,Dormant,Penalties,37.07,2019-08-31
Western Region,Kakamega,52701.0,Dormant,Penalties,51.63,2020-11-30
North Rift Region,Kapsabet,27764.0,Dormant,Penalties,40.07,2019-03-31
Nairobi Region,Limuru,43970.0,Dormant,Penalties,39.81,2019-10-31
North Rift Region,Eldoret2,12233.0,Dormant,Penalties,33.48,2018-09-30
Nairobi Region,Rongai,2598.0,Inactive,Pending Renewal,,2015-02-28
Eastern Region,Mwingi,55367.0,Dormant,Penalties,27.27,2020-08-31
Eastern Region,Mwingi,49670.0,Dormant,Penalties,38.72,2020-02-29
Nairobi Region,Thika,74472.0,Dormant,Penalties,38.42,2020-12-31
South Rift Region,Litein,54504.0,Dormant,Penalties,47.93,2020-08-31
Coast Region,Kilifi,57298.0,Dormant,Penalties,0.15,2020-05-31
South Rift AgriBiz,Londiani,61366.0,Dormant,Pending Renewal,66.17,2021-02-28
South Rift AgriBiz,Nakuru AgriBiz,17580.0,Dormant,Penalties,39.8,2019-02-28
Nairobi Region,Kariobangi,5821.0,Dormant,Penalties,41.92,2017-07-31
Western Region,Mumias,62711.0,Dormant,Penalties,40.99,2021-02-28
Coast Region,Malindi,52879.0,Dormant,Penalties,36.37,2020-05-31
Nairobi Region,Rongai,32205.0,Dormant,Penalties,9.43,2019-04-30
Western Region,Busia,76648.0,Active,Penalties,50.66,2021-02-28
South Rift AgriBiz,Maili Nne,57673.0,Dormant,Penalties,48.61,2021-02-28
North Rift Region,Eldoret1,41931.0,Dormant,Pending Renewal,56.04,2019-10-31
Nairobi Region,Kariobangi,31376.0,Dormant,Penalties,0.83,2019-03-31
Eastern Region,Mwingi,66471.0,Dormant,Penalties,72.94,2021-02-28
South Rift Region,Naivasha,27124.0,Dormant,Penalties,45.46,2020-06-30
North Rift Region,Eldoret1,13806.0,Dormant,Penalties,43.59,2018-06-30
North Rift Region,Eldoret1,31740.0,Dormant,Penalties,4.69,2019-03-31
Nairobi Region,Embakasi,36511.0,Dormant,Penalties,31.03,2019-07-31
Coast Region,Mombasa,85724.0,New,P+I Current,,2021-02-28
Coast Region,Mombasa,64201.0,Dormant,Penalties,38.13,2020-10-31
North Rift Region,Kitale,39636.0,Active,P+I Current,55.5,2021-02-28
Nairobi Region,Rongai,67631.0,Dormant,Penalties,35.22,2020-10-31
Nairobi Region,Limuru,14178.0,Dormant,Penalties,12.16,2018-03-31
South Rift Region,Nakuru,48914.0,Dormant,Penalties,1.02,2020-03-31
Western Region,Mbale,68688.0,Dormant,Penalties,18.93,2020-10-31
Coast Region,Voi,50853.0,Dormant,Pending Renewal,75.15,2020-02-29
North Rift Region,Kapenguria,14559.0,Dormant,Penalties,20.15,2018-04-30
South Rift Region,Naivasha,33359.0,Dormant,Penalties,19.64,2019-04-30
South Rift AgriBiz,Londiani,63472.0,Dormant,Pending Renewal,57.86,2021-02-28
Nairobi Region,Thika,5847.0,Dormant,Penalties,25.58,2020-10-31
Nairobi Region,Limuru,85569.0,New,P+I Current,,2021-02-28
North Rift Region,Eldoret1,15060.0,Dormant,Pending Renewal,59.95,2018-10-31
Eastern Region,Mwingi,73489.0,Dormant,Penalties,31.62,2021-02-28
South Rift Region,Kericho,19170.0,Dormant,Pending Renewal,30.05,2018-05-31
Eastern Region,Mwingi,54145.0,Dormant,Penalties,26.26,2020-03-31
South Rift Region,Molo,34364.0,Dormant,Penalties,3.73,2019-05-31
South Rift AgriBiz,Londiani,58727.0,Active,P+I Current,74.42,2021-02-28
Coast Region,Mariakani,66621.0,Dormant,Penalties,0.15,2020-09-30
South Rift AgriBiz,Londiani,74131.0,Active,P+I In Default,60.75,2021-02-28
Eastern Region,Matuu,76223.0,Active,P+I Current,48.05,2021-02-28
South Rift Region,Narok,62384.0,Dormant,P+I In Default,32.79,2021-02-28
Coast Region,Mombasa,27375.0,Dormant,Pending Renewal,75.15,2018-12-31
Coast Region,Mtwapa,23025.0,Dormant,Penalties,0.15,2018-08-31
Western Region,Mbale,67124.0,Active,P+I Current,47.85,2021-02-28
North Rift Region,Kapsabet,40958.0,Dormant,Penalties,43.82,2021-01-31
Coast Region,Changamwe,75491.0,Active,Pending Renewal,85.46,2021-01-31
South Rift AgriBiz,Londiani,79251.0,Active,P+I In Default,,2020-10-31
Western Region,Busia,57947.0,Dormant,Pending Renewal,55.57,2020-05-31
Nairobi Region,Limuru,72627.0,Dormant,Penalties,31.21,2021-02-28
North Rift Region,Eldoret2,82901.0,Active,Penalties,25.26,2020-12-31
North Rift Region,Kitale,8258.0,Dormant,Penalties,9.8,2017-06-30
South Rift AgriBiz,Ndunyu Njeru,33813.0,Dormant,Pending Renewal,53.37,2021-02-28
Coast Region,Changamwe,36295.0,Active,P+I Current,61.39,2021-02-28
Nairobi Region,Rongai,51479.0,Dormant,Penalties,26.48,2020-04-30
South Rift AgriBiz,Nakuru AgriBiz,16151.0,Dormant,Penalties,28.92,2020-01-31
South Rift Region,Litein,66365.0,Dormant,Penalties,0.5,2020-10-31
Nairobi Region,Ngong Road,8858.0,Dormant,Penalties,0.15,2017-06-30
Nairobi Region,Kariobangi,54348.0,Dormant,Penalties,0.15,2020-03-31
South Rift Region,Bomet,73248.0,Dormant,Penalties,18.21,2021-02-28
Nairobi Region,Embakasi,2830.0,Dormant,Penalties,35.35,2016-05-31
Eastern Region,Matuu,51882.0,Dormant,Penalties,29.16,2020-05-31
North Rift Region,Kitale,24807.0,Dormant,Penalties,36.94,2019-02-28
Coast Region,Voi,49227.0,Dormant,Penalties,0.24,2020-02-29
Nairobi Region,Ngong Road,11331.0,Dormant,Penalties,23.84,2018-02-28
Western Region,Kisumu,76644.0,Active,Penalties,48.92,2020-09-30
North Rift Region,Eldoret1,21440.0,Dormant,Penalties,16.01,2018-08-31
South Rift Region,Naivasha,23349.0,Dormant,Pending Renewal,75.15,2018-08-31
South Rift AgriBiz,Nakuru AgriBiz,16286.0,Dormant,P+I In Default,,2019-08-31
Western Region,Busia,50522.0,Dormant,Penalties,27.53,2020-08-31
North Rift Region,Nandi Hills,15394.0,Dormant,Penalties,30.35,2019-03-31
South Rift Region,Molo,18797.0,Dormant,Pending Renewal,48.23,2019-12-31
Western Region,Bungoma,52502.0,Dormant,Penalties,32.79,2020-11-30
Nairobi Region,Embakasi,21276.0,Dormant,Penalties,8.9,2018-07-31
Nairobi Region,Kariobangi,78779.0,Active,P+I In Default,45.72,2021-02-28
North Rift Region,Eldoret1,24500.0,Dormant,Penalties,23.88,2018-11-30
South Rift AgriBiz,Maili Nne,70816.0,Active,Penalties,47.47,2021-02-28
Nairobi Region,Rongai,24320.0,Inactive,Pending Renewal,,2017-10-31
Western Region,Bungoma,75725.0,Active,Penalties,49.41,2020-12-31
Western Region,Bungoma,80664.0,Active,P+I In Default,23.68,2021-02-28
North Rift Region,Eldoret3,18269.0,Dormant,Penalties,45.64,2019-05-31
South Rift Region,Litein,70366.0,Dormant,Penalties,27.14,2021-02-28
South Rift Region,Narok,69831.0,Dormant,Penalties,37.06,2021-02-28
Central AgriBiz,Gatundu,51229.0,Dormant,Penalties,38.9,2021-01-31
Western Region,Mumias,67094.0,Dormant,Penalties,0.15,2020-09-30
Nairobi Region,Kiambu,53663.0,Dormant,Pending Renewal,71.14,2020-06-30
Nairobi Region,Embakasi,10172.0,Dormant,Penalties,1.35,2017-08-31
North Rift Region,Eldoret3,31331.0,Inactive,Pending Renewal,,2018-04-30
North Rift Region,Iten,30081.0,Dormant,Penalties,42.16,2019-06-30
North Rift Region,Iten,61101.0,Dormant,Penalties,29.21,2020-08-31
North Rift Region,Kapsabet,29809.0,Dormant,Penalties,1.62,2019-03-31
Nairobi Region,Thika,51653.0,Dormant,Penalties,42.74,2020-10-31
Coast Region,Malindi,41733.0,Dormant,Penalties,35.11,2019-10-31
Central AgriBiz,Gatundu,79397.0,Active,P+I In Default,,2020-12-31
Nairobi Region,Kahawa,20478.0,Dormant,Penalties,49.05,2018-09-30
Nairobi Region,Kariobangi,10567.0,Dormant,Penalties,39.04,2017-12-31
North Rift Region,Eldoret3,58290.0,Dormant,Penalties,0.5,2020-06-30
North Rift Region,Kitale,25754.0,Dormant,Penalties,56.15,2018-12-31
North Rift Region,Nandi Hills,46938.0,Dormant,Penalties,8.9,2019-11-30
Nairobi Region,Kahawa,33614.0,Dormant,Penalties,28.47,2019-06-30
Coast Region,Mariakani,29882.0,Dormant,Pending Renewal,47.31,2019-03-31
Nairobi Region,Kiambu,47892.0,Inactive,Pending Renewal,,2018-11-30
North Rift Region,Kapenguria,15914.0,Dormant,Penalties,24.37,2019-04-30
Nairobi Region,Thika,37404.0,Inactive,Pending Renewal,,2018-06-30
North Rift Region,Eldoret3,57574.0,Dormant,Penalties,0.15,2020-05-31
Western Region,Busia,67387.0,Dormant,Penalties,0.15,2020-10-31
Western Region,Mumias,81605.0,Active,P+I In Default,,2020-11-30
South Rift Region,Molo,35769.0,Dormant,Penalties,43.48,2019-07-31
South Rift AgriBiz,Maili Nne,52757.0,Dormant,Pending Renewal,59.34,2021-01-31
Nairobi Region,Kahawa,21499.0,Dormant,Penalties,22.35,2021-01-31
Western Region,Bungoma,73622.0,Active,Penalties,49.8,2021-02-28
Nairobi Region,Embakasi,40075.0,Dormant,Penalties,37.62,2019-10-31
North Rift Region,Kitale,74737.0,Dormant,Penalties,1.31,2020-10-31
Coast Region,Mtwapa,24972.0,Dormant,Penalties,36.96,2019-02-28
Nairobi Region,Limuru,82611.0,Active,Penalties,36.02,2020-12-31
South Rift Region,Nyahururu,55071.0,Dormant,Penalties,35.04,2020-05-31
Western Region,Bungoma,76893.0,Active,P+I In Default,58.64,2021-02-28
South Rift AgriBiz,Nakuru AgriBiz,39702.0,Active,P+I In Default,67.72,2021-02-28
South Rift Region,Bomet,60105.0,Dormant,Penalties,33.54,2021-02-28
Nairobi Region,Thika,23081.0,Dormant,Pending Renewal,45.02,2018-08-31
Nairobi Region,Kariobangi,1799.0,Dormant,Penalties,0.15,2016-04-30
Coast Region,Mombasa,16017.0,Dormant,Pending Renewal,28.0,2018-04-30
Nairobi Region,Embakasi,1819.0,Dormant,Penalties,59.75,2017-01-31
Coast Region,Mtwapa,45627.0,Dormant,Penalties,41.57,2019-11-30
Nairobi Region,Ngong Road,29583.0,Dormant,Penalties,53.63,2019-07-31
Coast Region,Kilifi,77139.0,Active,Penalties,47.15,2020-11-30
Coast Region,Malindi,47087.0,Active,Pending Renewal,28.86,2021-02-28
South Rift Region,Naivasha,2162.0,Dormant,Penalties,36.22,2016-08-31
Coast Region,Ukunda,79956.0,Active,Penalties,52.48,2020-11-30
Coast Region,Malindi,84953.0,New,P+I Current,,2021-02-28
South Rift AgriBiz,Londiani,70642.0,Active,P+I Current,67.77,2021-02-28
Nairobi Region,Rongai,49285.0,Inactive,Pending Renewal,,2019-02-28
North Rift Region,Kitale,56378.0,Dormant,Penalties,35.72,2020-06-30
Coast Region,Changamwe,45972.0,Dormant,Penalties,20.98,2020-04-30
Coast Region,Mombasa,14689.0,Dormant,Penalties,39.44,2018-06-30
Nairobi Region,Kahawa,1583.0,Dormant,Pending Renewal,23.96,2016-06-30
South Rift Region,Nakuru,18973.0,Dormant,Penalties,19.73,2018-05-31
Coast Region,Ukunda,22722.0,Dormant,Penalties,1.55,2018-08-31
Nairobi Region,Kariobangi,35675.0,Dormant,Penalties,1.55,2019-05-31
Nairobi Region,Ngong Road,53349.0,Dormant,Penalties,54.88,2021-02-28
South Rift AgriBiz,Keringet,53756.0,Dormant,Pending Renewal,65.1,2021-01-31
South Rift Region,Kericho,54972.0,Dormant,Penalties,8.9,2020-04-30
Coast Region,Mariakani,30388.0,Dormant,Penalties,29.42,2020-03-31
South Rift Region,Kericho,11413.0,Dormant,Pending Renewal,30.18,2018-08-31
Nairobi Region,Thika,11717.0,Dormant,Penalties,22.15,2019-03-31
Nairobi Region,Thika,30975.0,Dormant,Penalties,13.48,2019-03-31
South Rift Region,Nakuru,70349.0,Dormant,Penalties,15.88,2020-12-31
South Rift Region,Nakuru,11498.0,Dormant,Penalties,37.96,2017-12-31
Eastern Region,Matuu,75576.0,Active,Penalties,38.27,2020-09-30
North Rift Region,Kapsabet,57678.0,Dormant,Penalties,51.55,2020-11-30
Eastern Region,Machakos,50038.0,Dormant,Penalties,38.5,2020-10-31
Nairobi Region,Embakasi,41611.0,Dormant,Penalties,39.65,2019-10-31
Coast Region,Mtwapa,41214.0,Dormant,Pending Renewal,49.5,2020-10-31
North Rift Region,Iten,23567.0,Dormant,Penalties,28.77,2018-10-31
Western Region,Mumias,77515.0,Dormant,Penalties,52.51,2021-02-28
Nairobi Region,Ngong Road,4746.0,Dormant,Penalties,0.15,2017-06-30
